Country,Region,Pop_density,Pop_growth,Urban_pop_%,Fertility_rate,GDP_per_capita,GDP_growth,Econ_Agri_%,Econ_Industry_%,Econ_Services_%,Unemployment_%,Infant_mortality,Internet_users_%
Algeria,NorthernAfrica,17.3,2.0,70.7,3.0,4154.1,3.8,12.2,37.3,50.5,11.4,27.7,135
Angola,MiddleAfrica,23.9,3.5,44.1,6.0,4714.1,3.0,6.8,51.2,42.0,6.6,65.4,146
Benin,WesternAfrica,99.1,2.8,44.0,5.2,779.1,5.2,23.2,24.9,51.9,1.0,67.7,88
Botswana,SouthernAfrica,4.0,1.8,57.4,2.9,6360.6,-0.3,2.4,33.4,64.2,18.6,35.2,28
Burkina Faso,WesternAfrica,70.2,3.0,29.9,5.6,611.1,4.1,34.5,21.8,43.7,2.9,64.8,31
Burundi,EasternAfrica,423.1,3.0,12.1,6.0,244.6,-4.1,36.3,13.9,49.8,1.7,77.8,61
Cabo Verde,WesternAfrica,135.6,1.2,65.5,2.5,3080.2,1.5,9.5,19.8,70.7,10.5,22.5,65
Cameroon,MiddleAfrica,50.9,2.7,54.4,5.0,1217.3,5.8,22.7,28.3,49.1,4.6,67.5,775
Central African Republic,MiddleAfrica,7.5,0.4,40.0,5.1,333.2,4.8,34.9,24.8,40.4,6.9,93.5,60
Chad,MiddleAfrica,11.8,3.3,22.5,6.3,713.0,6.6,25.4,39.0,35.6,5.8,91.2,43
Comoros,EasternAfrica,437.4,2.4,28.3,4.6,1368.9,4.8,30.7,4.0,65.3,20.0,58.1,114
Congo,MiddleAfrica,15.4,2.6,65.4,4.9,1838.1,1.2,4.7,70.0,25.3,11.5,46.5,134
Democratic Republic of the Congo,MiddleAfrica,35.9,3.3,42.5,6.4,486.2,7.0,19.9,44.2,35.9,3.6,73.2,349
Djibouti,EasternAfrica,41.3,1.7,77.3,3.1,1956.3,6.5,3.3,21.4,75.3,6.6,55.3,98
Egypt,NorthernAfrica,98.0,2.2,43.1,3.4,3452.3,4.2,11.2,36.3,52.5,11.5,18.9,156
Equatorial Guinea,MiddleAfrica,45.2,4.2,39.9,5.0,16344.1,-7.4,1.2,73.1,25.7,7.7,70.0,177
Eritrea,EasternAfrica,50.2,2.0,22.6,4.4,914.9,4.8,17.2,23.5,59.3,7.3,45.0,122
Ethiopia,EasternAfrica,105.0,2.6,19.5,4.6,602.8,9.6,40.5,16.0,43.5,5.7,45.8,148
Gabon,MiddleAfrica,7.9,3.3,87.2,4.0,7960.7,3.9,3.8,54.5,41.7,18.1,40.8,270
Gambia,WesternAfrica,207.6,3.1,59.6,5.6,473.2,4.7,21.1,14.9,64.0,29.7,49.8,67
Ghana,WesternAfrica,126.7,2.4,54.0,4.2,1355.6,3.9,19.0,26.9,54.1,5.9,46.5,238
Guinea-Bissau,WesternAfrica,66.2,2.6,49.3,4.9,530.0,4.8,45.0,14.5,40.5,6.5,80.4,77
Guinea,WesternAfrica,51.8,2.3,37.2,5.1,703.9,0.1,19.8,32.8,47.4,6.8,65.7,185
Kenya,EasternAfrica,87.3,2.7,25.6,4.1,1376.7,5.6,32.0,19.0,49.0,10.8,39.4,480
Lesotho,SouthernAfrica,73.6,1.3,27.3,3.3,940.6,2.8,7.7,31.3,61.0,27.5,59.8,18
Liberia,WesternAfrica,49.1,2.6,49.7,4.8,455.9,0.3,70.8,11.4,17.9,4.1,59.0,172
Libya,NorthernAfrica,3.6,0.2,78.6,2.4,5488.2,-10.2,0.9,67.1,32.0,19.2,24.3,63
Madagascar,EasternAfrica,44.0,2.7,35.1,4.4,401.8,3.1,24.9,18.4,56.7,2.3,36.8,1324
Malawi,EasternAfrica,197.5,2.9,16.3,4.9,372.9,3.0,26.1,16.6,57.3,6.8,66.5,176
Mali,WesternAfrica,15.2,2.9,39.9,6.4,744.3,7.6,39.9,19.6,40.5,8.1,78.5,42
Mauritania,WesternAfrica,4.3,2.9,59.9,4.9,1235.0,1.2,20.9,41.7,37.4,12.0,68.0,86
Mauritius,EasternAfrica,623.2,0.2,39.7,1.5,9040.9,3.5,2.9,22.7,74.4,7.6,12.0,257
Mayotte,EasternAfrica,674.8,2.8,47.0,4.1,-99,-99,-99,-99,-99,-99,4.2,88
Morocco,NorthernAfrica,80.1,1.4,60.2,2.6,2919.3,4.4,13.7,28.9,57.4,10.4,28.1,207
Mozambique,EasternAfrica,37.7,2.9,32.2,5.4,529.2,6.6,24.6,21.0,54.4,24.1,67.3,309
Namibia,SouthernAfrica,3.1,2.2,46.7,3.6,4673.6,5.3,6.6,30.6,62.8,24.9,36.4,115
Niger,WesternAfrica,17.0,3.8,18.7,7.4,359.0,3.6,39.6,19.1,41.3,2.7,65.8,34
Nigeria,WesternAfrica,209.6,2.7,47.8,5.7,2714.5,2.7,20.9,20.4,58.8,5.4,76.3,361
Rwanda,EasternAfrica,494.9,2.5,28.8,4.2,697.3,6.9,34.6,15.1,50.3,2.4,44.0,62
Saint Helena,WesternAfrica,10.4,-0.7,39.4,-99,-99,-99,-99,-99,-99,...,-99,100
Sao Tome and Principe,MiddleAfrica,212.8,2.2,65.1,4.7,1752.8,4.0,12.3,14.7,73.0,13.6,43.8,94
Senegal,WesternAfrica,82.3,3.0,43.7,5.0,901.1,6.5,15.5,24.1,60.4,9.3,43.9,123
Seychelles,EasternAfrica,206.0,0.5,53.9,2.4,14133.2,6.8,2.7,13.6,83.8,4.1,10.2,439
Sierra Leone,WesternAfrica,104.7,2.3,39.9,4.8,694.8,-20.3,51.4,17.6,31.1,3.1,94.4,177
Somalia,EasternAfrica,23.5,2.9,39.6,6.6,144.5,2.7,60.2,7.4,32.5,6.6,79.5,175
South Africa,SouthernAfrica,46.8,1.4,64.8,2.6,5773.0,1.3,2.4,28.9,68.7,26.0,36.5,581
South Sudan,EasternAfrica,20.6,3.3,18.8,5.2,1067.0,2.0,4.6,58.0,37.4,...,77.7,49
Sudan,NorthernAfrica,23.0,2.3,33.8,4.8,1977.0,4.9,32.4,20.1,47.6,13.4,48.7,133
Swaziland,SouthernAfrica,79.5,1.8,21.3,3.3,3211.7,1.7,6.6,42.1,51.3,25.1,56.3,34
Togo,WesternAfrica,143.4,2.6,40.0,4.7,559.4,5.5,45.7,19.7,34.6,6.8,55.7,80
Tunisia,NorthernAfrica,74.2,1.2,66.8,2.3,3660.9,0.8,10.3,27.8,62.0,14.6,18.5,96
Uganda,EasternAfrica,214.5,3.4,16.1,5.9,647.7,5.4,25.6,21.5,52.9,2.4,60.2,196
United Republic of Tanzania,EasternAfrica,64.7,3.1,31.6,5.2,877.3,7.0,31.1,26.1,42.9,2.7,44.0,1082
Western Sahara,NorthernAfrica,2.1,1.8,80.9,2.6,-99,-99,-99,-99,-99,6.8,34.1,49
Zambia,EasternAfrica,23.0,3.0,40.9,5.2,1311.1,2.9,8.2,32.3,59.5,7.4,53.8,88
Zimbabwe,EasternAfrica,42.7,2.3,32.4,4.0,890.4,1.1,13.0,30.5,56.5,5.0,46.5,89
